index,Index,Label,unit,start,last,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU236211236211               ,PCU236211236211               ,"PPI industry data for New industrial building construction, not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2022-M02,,,,105.5,107.8,105.2,107.1,109.9,112.4,116.1,118.3,119.0,122.0,127.8,135.4,139.4,146.72
PCU236211236211P              ,PCU236211236211P              ,"PPI industry data for New industrial building construction-Primary products, not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2022-M02,,,,105.5,107.8,105.2,107.1,109.9,112.4,116.1,118.3,119.0,122.0,127.8,135.4,139.4,146.72
PCU236221236221               ,PCU236221236221               ,"PPI industry data for New warehouse building construction, not seasonally adjusted",Index base: 2004.12 = 100,2004-M12,2022-M02,104.5,112.3,119.0,124.4,127.0,123.6,126.4,131.2,134.7,138.0,140.6,142.8,147.0,152.1,159.5,162.0,174.368
PCU236221236221P              ,PCU236221236221P              ,"PPI industry data for New warehouse building construction-Primary products, not seasonally adjusted",Index base: 2004.12 = 100,2004-M12,2022-M02,104.5,112.3,119.0,124.4,127.0,123.6,126.4,131.2,134.7,138.0,140.6,142.8,147.0,152.1,159.5,162.0,174.368
PCU236222236222               ,PCU236222236222               ,"PPI industry data for New school building construction, not seasonally adjusted",Index base: 2005.12 = 100,2005-M12,2022-M02,,105.7,118.0,123.5,131.9,131.5,135.1,139.7,141.9,146.6,149.4,150.7,153.8,160.4,169.8,174.2,180.457
PCU236222236222P              ,PCU236222236222P              ,"PPI industry data for New school building construction-Primary products, not seasonally adjusted",Index base: 2005.12 = 100,2005-M12,2022-M02,,105.7,118.0,123.5,131.9,131.5,135.1,139.7,141.9,146.6,149.4,150.7,153.8,160.4,169.8,174.2,180.457
PCU236223236223               ,PCU236223236223               ,"PPI industry data for New office building construction, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2022-M02,,,107.8,112.2,115.2,112.4,114.7,117.9,119.6,123.0,126.0,128.0,130.9,136.4,142.6,146.1,156.46
PCU236223236223P              ,PCU236223236223P              ,"PPI industry data for New office building construction-Primary products, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2022-M02,,,107.8,112.2,115.2,112.4,114.7,117.9,119.6,123.0,126.0,128.0,130.9,136.4,142.6,146.1,156.46
PCU236224236224               ,PCU236224236224               ,"PPI industry data for New health care building construction, not seasonally adjusted",Index base: 2012.06 = 100,2012-M06,2022-M02,,,,,,,,,101.4,104.5,105.3,105.9,107.4,111.8,116.8,119.6,125.369
PCU236224236224P              ,PCU236224236224P              ,"PPI industry data for New health care building construction-Primary products, not seasonally adjusted",Index base: 2012.06 = 100,2012-M06,2022-M02,,,,,,,,,101.4,104.5,105.3,105.9,107.4,111.8,116.8,119.6,125.369
PCU236400236400               ,PCU236400236400               ,"PPI industry data for New nonresidential building construction by contractor type/region, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,102.7,103.8,106.0,110.5,116.2,119.0,125.102
PCU2364002364001              ,PCU2364002364001              ,"PPI industry data for New nonresidential building construction by contractor type/region-General contractors, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,102.0,103.1,105.6,109.6,114.8,117.6,123.817
PCU23640023640011             ,PCU23640023640011             ,"PPI industry data for New nonresidential building construction by contractor type/region-General contractors, Northeast, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,101.3,102.3,104.8,108.8,113.7,116.0,120.463
PCU23640023640012             ,PCU23640023640012             ,"PPI industry data for New nonresidential building construction by contractor type/region-General contractors, South, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,102.9,104.6,106.6,110.1,115.1,118.6,124.807
PCU23640023640013             ,PCU23640023640013             ,"PPI industry data for New nonresidential building construction by contractor type/region-General contractors, Midwest, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,100.6,101.1,103.1,106.2,112.1,113.8,117.967
PCU23640023640014             ,PCU23640023640014             ,"PPI industry data for New nonresidential building construction by contractor type/region-General contractors, West, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,102.3,102.9,106.6,112.0,117.4,120.3,129.633
PCU236400236400221            ,PCU236400236400221            ,"PPI industry data for New nonresidential building construction by contractor type/region-Plumbing, heating, and air conditioning contractors, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,99.6,96.1,97.7,103.5,111.3,114.0,118.657
PCU2364002364002211           ,PCU2364002364002211           ,"PPI industry data for New nonresidential building construction by contractor type/region-Plumbing, heating, and air conditioning contractors, Northeast, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,99.9,95.8,97.5,103.6,111.6,115.2,125.191
PCU2364002364002212           ,PCU2364002364002212           ,"PPI industry data for New nonresidential building construction by contractor type/region-Plumbing, heating, and air conditioning contractors, South, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,99.2,96.0,97.0,102.8,110.6,114.6,116.721
PCU2364002364002213           ,PCU2364002364002213           ,"PPI industry data for New nonresidential building construction by contractor type/region-Plumbing, heating, and air conditioning contractors, Midwest, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,98.9,94.8,96.2,101.9,108.8,109.4,113.766
PCU2364002364002214           ,PCU2364002364002214           ,"PPI industry data for New nonresidential building construction by contractor type/region-Plumbing, heating, and air conditioning contractors, West, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,100.7,97.8,100.3,105.9,114.6,116.3,120.445
PCU236400236400222            ,PCU236400236400222            ,"PPI industry data for New nonresidential building construction by contractor type/region-Electrical contractors, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,103.8,106.3,108.2,115.8,123.6,129.3,134.523
PCU2364002364002221           ,PCU2364002364002221           ,"PPI industry data for New nonresidential building construction by contractor type/region-Electrical contractors, northeast, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,103.0,107.3,108.7,115.0,120.6,127.5,135.058
PCU2364002364002222           ,PCU2364002364002222           ,"PPI industry data for New nonresidential building construction by contractor type/region-Electrical contractors, South, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,104.1,106.2,108.1,114.6,122.2,126.6,131.336
PCU2364002364002223           ,PCU2364002364002223           ,"PPI industry data for New nonresidential building construction by contractor type/region-Electrical contractors, Midwest, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,104.8,106.5,108.2,115.5,122.1,128.0,132.956
PCU2364002364002224           ,PCU2364002364002224           ,"PPI industry data for New nonresidential building construction by contractor type/region-Electrical contractors, West, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,103.4,105.8,108.1,118.4,129.4,135.8,139.901
PCU236400236400223            ,PCU236400236400223            ,"PPI industry data for New nonresidential building construction by contractor type/region-Roofing contractors, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,105.1,106.6,107.7,108.4,110.3,114.9,119.426
PCU2364002364002231           ,PCU2364002364002231           ,"PPI industry data for New nonresidential building construction by contractor type/region-Roofing contractors, Northeast, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,101.8,102.7,103.3,104.7,105.4,107.0,113.028
PCU2364002364002232           ,PCU2364002364002232           ,"PPI industry data for New nonresidential building construction by contractor type/region-Roofing contractors, South, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,107.9,109.6,111.3,111.6,113.6,118.2,
PCU2364002364002233           ,PCU2364002364002233           ,"PPI industry data for New nonresidential building construction by contractor type/region-Roofing contractors, Midwest, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,104.3,104.9,105.8,107.1,107.9,112.5,118.82
PCU2364002364002234           ,PCU2364002364002234           ,"PPI industry data for New nonresidential building construction by contractor type/region-Roofing contractors, West, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,103.8,106.3,107.1,107.4,111.1,118.0,120.142
PCU236400236400224            ,PCU236400236400224            ,"PPI industry data for New nonresidential building construction by contractor type/region-Poured concrete foundation and structure contractors, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,104.2,108.9,113.0,118.8,126.8,128.6,137.439
PCU2364002364002241           ,PCU2364002364002241           ,"PPI industry data for New nonresidential building construction by contractor type/region-Poured concrete foundation and structure contractors, Northeast, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,105.0,111.3,116.9,122.1,130.1,130.6,136.17
PCU2364002364002242           ,PCU2364002364002242           ,"PPI industry data for New nonresidential building construction by contractor type/region-Poured concrete foundation and structure contractors, South, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,104.7,109.8,114.9,121.8,132.3,134.9,146.194
PCU2364002364002243           ,PCU2364002364002243           ,"PPI industry data for New nonresidential building construction by contractor type/region-Poured concrete foundation and structure contractors, Midwest, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,103.8,106.3,109.4,114.7,120.7,122.6,131.738
PCU2364002364002244           ,PCU2364002364002244           ,"PPI industry data for New nonresidential building construction by contractor type/region-Poured concrete foundation and structure contractors, West, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,103.7,109.1,112.0,117.1,123.6,124.7,131.594
PCU236500236500               ,PCU236500236500               ,"PPI industry data for New nonresidential building construction by region, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,102.6,103.8,106.0,110.4,116.0,118.9,125.131
PCU2365002365001              ,PCU2365002365001              ,"PPI industry data for New nonresidential building construction by region-New nonresidential building construction, Northeast, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,103.0,104.0,106.2,110.9,116.4,119.7,127.451
PCU2365002365002              ,PCU2365002365002              ,"PPI industry data for New nonresidential building construction by region-New nonresidential building construction, South, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,102.9,104.4,106.4,110.0,115.6,119.1,124.238
PCU2365002365003              ,PCU2365002365003              ,"PPI industry data for New nonresidential building construction by region-New nonresidential building construction, Midwest, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,101.6,102.3,104.3,108.1,113.4,115.0,120.572
PCU2365002365004              ,PCU2365002365004              ,"PPI industry data for New nonresidential building construction by region-New nonresidential building construction, West, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,,,,,,,,,,102.8,104.1,106.8,112.5,118.6,121.4,128.599
PCU23811X23811X               ,PCU23811X23811X               ,"PPI industry data for Concrete contractors, nonresidential building work, not seasonally adjusted",Index base: 2007.12 = 100,2007-M12,2022-M02,,,,102.1,104.8,104.0,104.4,105.4,107.2,108.9,112.3,117.0,121.1,126.8,134.9,137.7,147.094
PCU23811X23811XP              ,PCU23811X23811XP              ,"PPI industry data for Concrete contractors, nonresidential building work-Primary products, not seasonally adjusted",Index base: 2007.12 = 100,2007-M12,2022-M02,,,,102.1,104.8,104.0,104.4,105.4,107.2,108.9,112.3,117.0,121.1,126.8,134.9,137.7,147.094
PCU23816X23816X               ,PCU23816X23816X               ,"PPI industry data for Roofing contractors, nonresidential building work, not seasonally adjusted",Index base: 2007.12 = 100,2007-M12,2022-M02,,,,105.5,113.7,111.4,113.3,117.6,119.7,124.5,127.3,129.1,132.2,133.5,136.9,141.3,149.817
PCU23816X23816XP              ,PCU23816X23816XP              ,"PPI industry data for Roofing contractors, nonresidential building work-Primary products, not seasonally adjusted",Index base: 2007.12 = 100,2007-M12,2022-M02,,,,105.5,113.7,111.4,113.3,117.6,119.7,124.5,127.3,129.1,132.2,133.5,136.9,141.3,149.817
PCU2381MR2381MR               ,PCU2381MR2381MR               ,"PPI industry data for Nonresidential building maintenance & repair, not seasonally adjusted",Index base: 2009.04 = 100,2009-M04,2022-M02,,,,,,102.2,103.5,105.0,106.9,109.2,111.3,112.9,115.4,117.5,120.6,121.0,126.802
PCU23821X23821X               ,PCU23821X23821X               ,"PPI industry data for Electrical contractors, nonresidential building work, not seasonally adjusted",Index base: 2007.12 = 100,2007-M12,2022-M02,,,,101.6,102.6,101.5,104.4,106.8,107.7,109.1,112.7,115.1,116.9,122.1,127.6,131.1,136.96
PCU23821X23821XP              ,PCU23821X23821XP              ,"PPI industry data for Electrical contractors, nonresidential building work-Primary products, not seasonally adjusted",Index base: 2007.12 = 100,2007-M12,2022-M02,,,,101.6,102.6,101.5,104.4,106.8,107.7,109.1,112.7,115.1,116.9,122.1,127.6,131.1,136.96
PCU23822X23822X               ,PCU23822X23822X               ,"PPI industry data for Plumbing, heating and air-conditioning contractors, nonresidential building work, not seasonally adjusted",Index base: 2007.12 = 100,2007-M12,2022-M02,,,,103.6,109.1,110.7,112.9,115.8,118.5,123.5,123.5,121.9,124.3,129.6,136.2,137.7,143.108
PCU23822X23822XP              ,PCU23822X23822XP              ,"PPI industry data for Plumbing, heating and air-conditioning contractors, nonresidential building work-Primary products, not seasonally adjusted",Index base: 2007.12 = 100,2007-M12,2022-M02,,,,103.6,109.1,110.7,112.9,115.8,118.5,123.5,123.5,121.9,124.3,129.6,136.2,137.7,143.108
