index,Index,Label,unit,start,last,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
WDU30140101                   ,WDU30140101                   ,"PPI Commodity data for Transportation services-Air transportation of freight, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2016-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4,100.1,111.3,116.1,114.9,115.8,112.5,,,
WDU30160101                   ,WDU30160101                   ,"PPI Commodity data for Transportation services-First class mail, not seasonally adjusted, discontinued",Index base: 1989.06 = 100,1972-M01,2012-M13,34.2,34.2,40.9,42.1,53.0,53.0,57.7,61.3,61.5,72.6,81.7,81.7,81.7,86.7,87.7,87.7,96.9,100.0,100.0,115.6,117.0,117.0,117.0,127.0,127.0,127.0,127.0,129.0,129.0,136.2,142.6,146.8,146.8,146.8,154.5,157.8,162.8,169.0,171.8,174.8,179.5,,,,,,
WDU30160102                   ,WDU30160102                   ,"PPI Commodity data for Transportation services-Periodicals (second class mail), not seasonally adjusted, discontinued",Index base: 1989.06 = 100,1972-M01,2012-M13,28.5,28.6,38.5,40.5,50.6,50.7,63.3,72.3,72.3,74.9,76.1,76.1,76.1,86.3,88.3,88.3,97.1,100.0,100.0,121.7,123.6,123.6,123.6,139.1,139.1,139.1,139.1,143.5,143.5,170.2,190.0,202.5,202.5,202.5,213.0,213.9,219.1,223.9,225.1,227.4,232.6,,,,,,
WDU30160103                   ,WDU30160103                   ,"PPI Commodity data for Transportation services-Standard class A (third class mail), not seasonally adjusted, discontinued",Index base: 1989.06 = 100,1972-M01,2012-M13,30.8,30.9,37.3,38.6,48.5,48.5,52.4,55.3,55.5,66.2,73.6,74.2,74.6,81.3,82.6,82.6,95.7,100.0,100.0,125.6,129.1,129.1,129.1,146.5,146.5,146.5,146.5,152.1,152.1,157.7,164.3,169.7,169.7,169.7,185.5,201.5,212.9,217.2,218.4,221.1,226.9,,,,,,
WDU30160104                   ,WDU30160104                   ,"PPI Commodity data for Transportation services-Standard class B (fourth class mail), not seasonally adjusted, discontinued",Index base: 1989.06 = 100,1972-M01,2012-M13,36.9,36.9,39.6,41.0,48.3,48.3,59.7,67.8,67.8,73.3,75.4,75.4,75.4,82.5,83.9,83.9,96.0,100.0,100.0,114.3,115.6,115.6,115.6,139.0,139.0,139.0,139.0,150.3,150.3,156.3,160.8,163.9,163.9,163.9,173.6,190.4,202.7,215.5,223.9,224.4,229.0,,,,,,
WDU30160105                   ,WDU30160105                   ,"PPI Commodity data for Transportation services-International mail, not seasonally adjusted, discontinued",Index base: 1989.06 = 100,1972-M01,2012-M13,29.6,29.9,35.0,36.0,46.0,46.1,47.3,48.2,48.2,71.9,72.8,72.8,72.8,84.0,86.1,86.1,96.5,100.0,100.0,105.9,106.4,106.4,106.4,110.6,114.8,114.8,114.8,110.3,107.0,116.9,116.9,116.9,116.9,116.9,126.9,139.6,147.9,156.0,159.0,161.6,169.7,,,,,,
WDU30160106                   ,WDU30160106                   ,"PPI Commodity data for Transportation services-Special services and fees, not seasonally adjusted, discontinued",Index base: 1989.06 = 100,1972-M01,2012-M13,24.1,24.1,24.1,26.4,38.6,48.2,57.4,64.0,64.0,70.5,72.7,72.7,72.7,79.9,81.4,81.4,95.4,100.0,100.0,116.6,118.1,118.1,118.1,134.4,134.4,134.4,134.4,136.5,136.5,159.6,170.0,177.7,177.7,177.7,187.9,198.9,207.8,214.6,217.2,219.5,224.7,,,,,,
WDU33120201                   ,WDU33120201                   ,"PPI Commodity data for Publishing sales, excluding software-Sales and subscriptions of newspapers, daily and Sunday papers, not seasonally adjusted, discontinued",Index base: 1999.06 = 100,1999-M06,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5,106.3,109.4,111.9,113.8,116.8,117.9,118.6,121.5,131.2,136.9,141.3,145.3,150.0,155.6,,,,
WDU33120202                   ,WDU33120202                   ,"PPI Commodity data for Publishing sales, excluding software-Sales and subscriptions of newspapers, weekly and other papers, not seasonally adjusted, discontinued",Index base: 1999.06 = 100,1999-M06,2014-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1,104.0,105.9,107.2,110.6,116.4,117.0,117.1,117.1,117.9,118.7,123.8,140.0,142.0,,,,,
WDU342102                     ,WDU342102                     ,"PPI Commodity data for Software publishing-Application software publishing, game software, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2011-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4,,,,,,,,,
WDU34210201                   ,WDU34210201                   ,"PPI Commodity data for Software publishing-Application software publishing, game software, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2011-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4,,,,,,,,,
WDU36110103                   ,WDU36110103                   ,"PPI Commodity data for Advertising space and time sales-Advertising space sales in other periodicals, not seasonally adjusted, discontinued",Index base: 2007.06 = 100,2007-M06,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,101.2,101.5,101.9,102.4,102.7,102.7,,,,
WDU36110201                   ,WDU36110201                   ,"PPI Commodity data for Advertising space and time sales-Advertising space sales in newspapers, daily and Sunday papers, not seasonally adjusted, discontinued",Index base: 1999.06 = 100,1999-M06,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.7,110.1,114.9,120.0,124.8,130.3,135.4,139.7,142.1,142.4,142.9,142.2,141.9,142.2,145.9,,,,
WDU36110202                   ,WDU36110202                   ,"PPI Commodity data for Advertising space and time sales-Advertising space sales in newspapers, weekly and other papers, not seasonally adjusted, discontinued",Index base: 1999.06 = 100,1999-M06,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.5,107.6,112.1,115.0,119.3,124.3,126.3,129.6,132.9,133.4,133.7,134.1,134.1,134.3,134.5,,,,
WDU36510101                   ,WDU36510101                   ,"PPI Commodity data for Advertising space and time sales-Internet advertising sales, excluding Internet advertising sold by print publishers, not seasonally adjusted, discontinued",Index base: 2009.12 = 100,2009-M12,2016-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3,97.3,93.5,87.4,84.5,81.4,,,
WDU37130101                   ,WDU37130101                   ,"PPI Commodity data for Telecommunication, cable, and internet user services-Local coin telephone service, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,,,,,,
WDU37130102                   ,WDU37130102                   ,"PPI Commodity data for Telecommunication, cable, and internet user services-Other local telephone service, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.7,102.2,,,,,,,
WDU3722                       ,WDU3722                       ,"PPI Commodity data for Telecommunication, cable, and internet user services-Paging services, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2013-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.5,100.5,100.4,,,,,,
WDU372201                     ,WDU372201                     ,"PPI Commodity data for Telecommunication, cable, and internet user services-Paging services, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2013-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.5,100.5,100.4,,,,,,
WDU37220101                   ,WDU37220101                   ,"PPI Commodity data for Telecommunication, cable, and internet user services-Paging services, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2013-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.5,100.5,100.4,,,,,,
WDU374101                     ,WDU374101                     ,"PPI Commodity data for Telecommunication, cable, and internet user services-Internet access services, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,97.7,,,,,,,
WDU37410101                   ,WDU37410101                   ,"PPI Commodity data for Telecommunication, cable, and internet user services-Internet access services, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,97.7,,,,,,,
WDU4422                       ,WDU4422                       ,"PPI Commodity data for Rental and leasing of goods (partial)-Truck tractor rental and leasing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.2,104.1,105.2,112.9,,,,
WDU442201                     ,WDU442201                     ,"PPI Commodity data for Rental and leasing of goods (partial)-Truck tractor rental and leasing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.2,104.1,105.2,112.9,,,,
WDU44220101                   ,WDU44220101                   ,"PPI Commodity data for Rental and leasing of goods (partial)-Truck tractor rental and leasing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.2,104.1,105.2,112.9,,,,
WDU4423                       ,WDU4423                       ,"PPI Commodity data for Rental and leasing of goods (partial)-Truck trailer, utility trailer, and RV rental and leasing, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3,78.0,89.8,90.1,95.4,106.0,,,,
WDU442301                     ,WDU442301                     ,"PPI Commodity data for Rental and leasing of goods (partial)-Truck trailer, utility trailer, and RV rental and leasing, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3,78.0,89.8,90.1,95.4,106.0,,,,
WDU44230101                   ,WDU44230101                   ,"PPI Commodity data for Rental and leasing of goods (partial)-Truck trailer, utility trailer, and RV rental and leasing, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3,78.0,89.8,90.1,95.4,106.0,,,,
WDU4424                       ,WDU4424                       ,"PPI Commodity data for Rental and leasing of goods (partial)-Rental and leasing of RVs and cargo and utility trailers, not seasonally adjusted, discontinued",Index base: 2015.09 = 100,2015-M09,2017-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,,
WDU442401                     ,WDU442401                     ,"PPI Commodity data for Rental and leasing of goods (partial)-Rental and leasing of RVs and cargo and utility trailers, not seasonally adjusted, discontinued",Index base: 2015.09 = 100,2015-M09,2017-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,,
WDU44240101                   ,WDU44240101                   ,"PPI Commodity data for Rental and leasing of goods (partial)-Rental and leasing of RVs and cargo and utility trailers, not seasonally adjusted, discontinued",Index base: 2015.09 = 100,2015-M09,2017-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,,
WDU51110101                   ,WDU51110101                   ,"PPI Commodity data for Health care services-Physician care, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2014-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9,104.9,106.1,106.3,,,,,
WDU511102022                  ,WDU511102022                  ,"PPI Commodity data for Health care services-Private insurance patients: diagnostic imaging center care, not seasonally adjusted, discontinued",Index base: 2014.06 = 100,2014-M06,2017-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,103.3,,
WDU511102023                  ,WDU511102023                  ,"PPI Commodity data for Health care services-All other patients: diagnostic imaging center care, not seasonally adjusted, discontinued",Index base: 2014.06 = 100,2014-M06,2017-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,
WDU51110501                   ,WDU51110501                   ,"PPI Commodity data for Health care services-Dental care, not seasonally adjusted, discontinued",Index base: 2010.06 = 100,2010-M06,2014-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,103.8,105.7,,,,,
WDU52                         ,WDU52                         ,"PPI Commodity data for Educational services (partial), not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2017-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,100.0,100.8,101.1,102.1,102.1,103.2,105.2,,
WDU521                        ,WDU521                        ,"PPI Commodity data for Educational services (partial)-Computer training school services, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2017-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,100.0,100.8,101.1,102.1,102.1,103.2,105.2,,
WDU5211                       ,WDU5211                       ,"PPI Commodity data for Educational services (partial)-Computer training school services, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2017-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,100.0,100.8,101.1,102.1,102.1,103.2,105.2,,
WDU521101                     ,WDU521101                     ,"PPI Commodity data for Educational services (partial)-Computer training school services, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2017-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,100.0,100.8,101.1,102.1,102.1,103.2,105.2,,
WDU52110101                   ,WDU52110101                   ,"PPI Commodity data for Educational services (partial)-Computer training school services, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2017-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,100.0,100.8,101.1,102.1,102.1,103.2,105.2,,
WDU564                        ,WDU564                        ,"PPI Commodity data for Entertainment services (partial)-Amusement machine receipts (partial), not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2016-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6,83.1,83.1,83.1,87.6,87.2,85.7,,,
WDU5641                       ,WDU5641                       ,"PPI Commodity data for Entertainment services (partial)-Amusement machine receipts (partial), not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2016-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6,83.1,83.1,83.1,87.6,87.2,85.7,,,
WDU564101                     ,WDU564101                     ,"PPI Commodity data for Entertainment services (partial)-Amusement machine receipts (partial), not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2016-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6,83.1,83.1,83.1,87.6,87.2,85.7,,,
WDU56410101                   ,WDU56410101                   ,"PPI Commodity data for Entertainment services (partial)-Amusement machine receipts (partial), not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2016-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6,83.1,83.1,83.1,87.6,87.2,85.7,,,
WDU571101                     ,WDU571101                     ,"PPI Commodity data for Wholesale trade services-Machinery and equipment wholesaling, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2019-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,102.3,107.2,110.3,112.0,110.7,117.9,119.3,124.2
WDU57110101                   ,WDU57110101                   ,"PPI Commodity data for Wholesale trade services-Machinery and equipment wholesaling, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2019-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,102.3,107.2,110.3,112.0,110.7,117.9,119.3,124.2
WDU581101                     ,WDU581101                     ,"PPI Commodity data for Retail trade services-Food and alcohol retailing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,107.5,112.6,115.1,120.1,,,,
WDU58110101                   ,WDU58110101                   ,"PPI Commodity data for Retail trade services-Food and alcohol retailing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,107.5,112.6,115.1,120.1,,,,
WDU587                        ,WDU587                        ,"PPI Commodity data for Retail trade services-Manufactured (mobile) homes retailing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2018-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,101.5,100.1,98.1,100.7,100.9,104.4,106.9,108.0
WDU5871                       ,WDU5871                       ,"PPI Commodity data for Retail trade services-Manufactured (mobile) homes retailing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2018-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,101.5,100.1,98.1,100.7,100.9,104.4,106.9,108.0
WDU587101                     ,WDU587101                     ,"PPI Commodity data for Retail trade services-Manufactured (mobile) homes retailing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2018-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,101.5,100.1,98.1,100.7,100.9,104.4,106.9,108.0
WDU58710101                   ,WDU58710101                   ,"PPI Commodity data for Retail trade services-Manufactured (mobile) homes retailing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2018-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,101.5,100.1,98.1,100.7,100.9,104.4,106.9,108.0
WDU61110322                   ,WDU61110322                   ,"PPI Commodity data for Contract work on textile products, apparel, and leather-Contract work, men's/boys' embroidery and misc, not seasonally adjusted, discontinued",Index base: 2007.06 = 100,2007-M06,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,102.4,102.9,104.2,,,,,,,
