index,Index,Label,unit,start,last,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCU448---448---               ,PCU448---448---               ,"PPI industry sub-sector data for Clothing and clothing accessories stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,100.5,103.3,105.4,107.0,110.7,111.9,117.0,124.4,124.3,123.4,126.4,131.9,132.9,131.6,129.2,130.2,121.4
PCU4481--4481--               ,PCU4481--4481--               ,"PPI industry group data for Clothing stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,99.3,102.4,104.4,105.3,107.5,108.3,114.4,122.1,120.1,117.6,121.1,128.3,129.4,127.2,124.5,125.6,113.0
PCU44810-44810-               ,PCU44810-44810-               ,"PPI industry data for Clothing stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,99.3,102.4,104.4,105.3,107.5,108.3,114.4,122.1,120.1,117.6,121.1,128.3,129.4,127.2,124.5,125.6,113.0
PCU448100448100               ,PCU448100448100               ,"PPI industry data for Clothing stores, not seasonally adjusted",Index base: 2015.05 = 100,2015-M05,2021-M11,,,,,,,,,,,,,,,,104.4,102.6,100.5,101.3,91.2
PCU4481004481001              ,PCU4481004481001              ,"PPI industry data for Clothing stores-Retailing of apparel, not seasonally adjusted",Index base: 2015.05 = 100,2015-M05,2021-M11,,,,,,,,,,,,,,,,103.0,101.8,100.7,101.4,91.5
PCU44810044810011             ,PCU44810044810011             ,"PPI industry data for Clothing stores-Retailing of men's apparel, not seasonally adjusted",Index base: 2015.05 = 100,2015-M05,2021-M11,,,,,,,,,,,,,,,,99.0,103.6,104.4,102.6,98.2
PCU44810044810012             ,PCU44810044810012             ,"PPI industry data for Clothing stores-Retailing of women's apparel, not seasonally adjusted",Index base: 2015.05 = 100,2015-M05,2021-M11,,,,,,,,,,,,,,,,102.9,100.0,98.0,99.8,87.5
PCU44810044810013             ,PCU44810044810013             ,"PPI industry data for Clothing stores-Retailing of children's apparel, not seasonally adjusted",Index base: 2015.05 = 100,2015-M05,2021-M11,,,,,,,,,,,,,,,,110.0,110.6,111.2,110.1,102.1
PCU4481004481002              ,PCU4481004481002              ,"PPI industry data for Clothing stores-Retailing of all other goods, not seasonally adjusted",Index base: 2015.05 = 100,2015-M05,2021-M11,,,,,,,,,,,,,,,,110.3,106.0,99.9,101.4,90.1
PCU448100448100P              ,PCU448100448100P              ,"PPI industry data for Clothing stores-Primary services, not seasonally adjusted",Index base: 2015.05 = 100,2015-M05,2021-M11,,,,,,,,,,,,,,,,104.4,102.6,100.5,101.3,91.2
PCU4482--4482--               ,PCU4482--4482--               ,"PPI industry group data for Shoe stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,103.9,105.0,105.7,109.7,114.0,114.7,112.6,115.0,116.8,119.7,120.6,121.4,120.8,122.4,117.8,122.7,123.5
PCU44821-44821-               ,PCU44821-44821-               ,"PPI industry data for Shoe stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,103.9,105.0,105.7,109.7,114.0,114.7,112.6,115.0,116.8,119.7,120.6,121.4,120.8,122.4,117.8,122.7,123.5
PCU448210448210               ,PCU448210448210               ,"PPI industry data for Shoe stores, not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2021-M11,,,102.0,106.0,107.1,107.9,111.9,116.3,117.0,114.9,117.4,119.2,122.1,123.0,123.8,123.2,124.9,120.2,125.2,126.0
PCU4482104482101              ,PCU4482104482101              ,"PPI industry data for Shoe stores-Shoe store services, not seasonally adjusted",Index base: 2002.06 = 100,2000-M12,2021-M11,,,102.0,106.0,107.1,107.9,111.9,116.3,117.0,114.9,117.4,119.2,122.1,123.0,123.8,123.2,124.9,120.2,125.2,126.0
PCU448210448210P              ,PCU448210448210P              ,"PPI industry data for Shoe stores-Primary services, not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2021-M11,,,102.0,106.0,107.1,107.9,111.9,116.3,117.0,114.9,117.4,119.2,122.1,123.0,123.8,123.2,124.9,120.2,125.2,126.0
PCU4483--4483--               ,PCU4483--4483--               ,"PPI industry group data for Jewelry, luggage and leather goods stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,101.8,104.9,108.7,110.9,120.4,123.7,129.9,140.1,147.4,151.2,153.2,153.4,155.6,156.7,158.2,154.1,158.9
PCU44831-44831-               ,PCU44831-44831-               ,"PPI industry data for Jewelry stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,101.8,104.8,108.6,110.8,120.7,124.1,130.6,141.5,149.2,153.3,155.7,156.1,158.6,159.7,161.1,156.9,161.7
PCU448310448310               ,PCU448310448310               ,"PPI industry data for Jewelry stores, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2021-M11,103.3,107.1,107.7,110.6,113.9,117.9,120.3,131.1,134.8,141.9,153.7,162.1,166.6,169.2,169.6,172.3,173.5,175.0,170.4,175.7
PCU4483104483101              ,PCU4483104483101              ,"PPI industry data for Jewelry stores-Jewelry store services, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2021-M11,103.4,107.2,107.8,110.7,114.0,118.1,120.5,131.2,134.9,142.1,153.9,162.3,166.8,169.4,169.8,172.6,173.8,175.3,170.7,176.0
PCU448310448310P              ,PCU448310448310P              ,"PPI industry data for Jewelry stores-Primary services, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2021-M11,103.4,107.2,107.8,110.7,114.0,118.1,120.5,131.2,134.9,142.1,153.9,162.3,166.8,169.4,169.8,172.6,173.8,175.3,170.7,176.0
PCU448320448320               ,PCU448320448320               ,"PPI industry data for Luggage and leather goods stores, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2017-M08,103.6,93.6,94.7,98.5,103.4,107.8,110.2,113.4,115.5,116.8,118.2,119.2,118.6,114.3,111.7,108.6,,,,
